node_one_1,node_one_2,node_two_1,node_two_2,length
110,842,60,798,59
110,842,170,777,67
110,842,118,861,19
118,861,157,894,39
127,975,157,894,81
127,975,177,1043,68
157,894,247,865,90
176,718,217,692,41
177,1043,95,1155,115
177,1043,236,1018,59
201,2036,160,1950,86
201,2036,223,2137,101
201,2036,304,1963,105
204,1272,153,1389,117
204,1272,302,1307,98
210,1729,188,1652,77
210,1729,251,1858,129
210,1729,302,1714,92
217,692,251,579,113
217,692,259,715,42
223,2137,195,2184,47
223,2137,266,2152,43
225,2338,220,2452,114
225,2338,286,2318,61
235,1440,302,1307,133
235,1440,280,1563,123
236,1018,283,901,117
236,1018,355,1130,128
247,865,259,715,150
247,865,283,901,39
251,1858,279,1870,28
259,715,361,644,102
279,1870,304,1963,93
279,1870,352,1809,73
280,1563,411,1575,131
283,901,343,907,60
296,2543,388,2408,136
296,2543,442,2568,146
302,1307,377,1291,75
304,1963,396,1987,92
343,907,456,770,149
343,907,409,1056,149
352,1809,361,1747,62
352,1809,502,1892,150
355,1130,409,1056,76
355,1130,394,1272,142
360,2375,423,2261,115
360,2375,388,2408,33
361,644,388,585,59
361,644,456,770,128
361,1747,443,1677,83
368,498,509,419,141
368,498,388,585,87
377,1291,394,1272,20
377,1291,430,1437,146
388,585,476,597,88
388,2408,429,2423,41
394,1272,520,1286,126
409,1056,521,1021,113
411,1575,445,1607,34
429,2423,556,2357,127
429,2423,476,2492,69
442,2568,476,2492,76
442,2568,532,2657,118
443,1677,445,1607,70
443,1677,503,1717,60
445,1607,519,1575,74
450,2157,547,2082,98
450,2157,468,2213,56
456,770,475,778,19
468,2213,595,2311,137
475,778,493,849,71
475,778,549,718,74
476,597,549,718,121
476,597,614,563,138
476,2492,589,2469,113
486,1969,502,1892,77
486,1969,547,2082,114
502,1892,569,1835,69
520,1286,550,1400,114
520,1286,560,1240,48
521,1021,600,1109,95
547,2082,690,2098,143
549,718,672,721,123
569,1835,591,1836,22
591,1836,653,1779,65
595,2311,735,2336,140
600,1109,679,1101,79
614,563,717,614,103
624,1562,676,1469,93
624,1562,682,1665,104
652,1422,747,1365,99
652,1422,676,1469,47
653,1779,682,1665,114
