node_one_1,node_one_2,node_two_1,node_two_2,length
192,2574,124,2486,95
192,2574,194,2630,56
192,2574,254,2509,74
254,2509,314,2467,60
314,2467,358,2390,77
314,2467,409,2565,122
324,2318,280,2219,101
324,2318,418,2244,95
324,2318,358,2390,72
358,2390,497,2425,139
369,2894,404,2820,74
369,2894,419,2946,59
409,2565,496,2653,93
418,2244,528,2288,110
487,2958,528,2893,65
487,2958,556,3044,90
496,2653,508,2725,72
496,2653,582,2627,86
528,2893,635,2806,111
538,2422,572,2365,57
538,2422,616,2570,150
572,2365,642,2386,70
582,2627,616,2570,57
616,2570,667,2545,51
635,2806,744,2781,109
642,2386,702,2337,60
642,2386,668,2499,113
662,1670,633,1592,78
662,1670,647,1757,87
662,1670,798,1660,136
667,2545,749,2606,82
673,1808,648,1891,83
673,1808,770,1785,97
683,1479,746,1479,63
702,2337,690,2225,112
702,2337,802,2395,100
742,2167,819,2169,77
744,2781,750,2685,96
744,2781,861,2871,122
746,1479,765,1411,68
746,1479,818,1528,74
749,2606,805,2518,88
749,2606,763,2667,61
750,2685,763,2667,18
763,2667,841,2656,78
765,1411,855,1405,90
770,1785,798,1660,125
770,1785,911,1836,141
782,3008,861,2871,139
782,3008,907,3055,125
798,1660,841,1608,53
802,2395,805,2518,123
802,2395,883,2338,82
805,2518,930,2520,125
818,1528,885,1467,73
818,1528,841,1608,80
819,2169,833,2056,113
819,2169,885,2245,77
841,1608,900,1619,59
855,1405,904,1320,85
855,1405,885,1467,62
861,2871,904,2864,43
883,2338,885,2245,93
883,2338,948,2373,65
885,1467,989,1498,104
885,2245,991,2183,106
900,1619,989,1498,130
900,1619,919,1676,57
904,1320,986,1300,82
911,1836,1010,1768,100
957,2582,962,2572,10
961,1213,1013,1162,56
961,1213,986,1300,87
962,2572,1080,2526,118
971,1088,1017,1024,65
971,1088,1013,1162,74
986,1300,1090,1369,104
989,1498,1074,1499,85
991,2183,967,2043,140
991,2183,1057,2177,66
1010,1768,1090,1848,94
1013,1162,1059,1168,46
1017,1024,1057,1025,40
1043,2783,1106,2805,63
1057,1025,1096,1080,55
1057,2177,1127,2085,93
1057,2177,1166,2294,122
1059,1168,1096,1080,88
